wavelength	Warm LED	Cool LED	HMI	Xenon
380	0.00208181818181818	0.0198245614035088	1.2046332046332000	0.0453409090909091
382	0.00520000000000000	0.0153859649122807	0.9974259974259970	0.0196590909090909
384	0.00757272727272727	0.0103859649122807	1.0193050193050200	0.0376136363636364
386	0.01145454545454550	0.0033508771929825	1.1209781209781200	0.0201136363636364
388	0.00336363636363636	0.0099122807017544	1.2342342342342300	0.0397727272727273
390	0.00890000000000000	0.0070175438596491	1.0900900900900900	0.0425000000000000
392	0.01354545454545450	0.0154385964912281	1.2175032175032200	0.0296590909090909
394	0.02090909090909090	0.0065789473684211	1.1145431145431100	0.0468181818181818
396	0.02981818181818180	0.0087192982456140	1.2471042471042500	0.0557386363636364
398	0.01645454545454550	0.0067368421052632	1.1338481338481300	0.0670454545454546
400	0.00810909090909091	0.0053508771929825	1.1402831402831400	0.0846590909090909
402	0.01400000000000000	0.0054736842105263	1.2998712998713000	0.1125000000000000
404	0.02309090909090910	0.0100877192982456	1.3513513513513500	0.1443181818181820
406	0.02709090909090910	0.0093333333333333	1.4800514800514800	0.1931818181818180
408	0.02081818181818180	0.0093508771929825	1.4929214929214900	0.2392045454545450
410	0.01690909090909090	0.0097192982456140	1.5958815958816000	0.3085227272727270
412	0.02072727272727270	0.0108421052631579	1.5701415701415700	0.3579545454545450
414	0.02554545454545450	0.0112280701754386	1.6473616473616500	0.4352272727272730
416	0.03027272727272730	0.0116315789473684	1.7117117117117100	0.5085227272727270
418	0.03709090909090910	0.0200000000000000	1.7245817245817200	0.5909090909090910
420	0.04336363636363640	0.0257894736842105	1.7631917631917600	0.6704545454545450
422	0.05554545454545450	0.0345614035087719	1.7889317889317900	0.7613636363636360
424	0.07245454545454550	0.0471929824561403	1.6344916344916300	0.8181818181818180
426	0.08709090909090910	0.0629824561403509	1.4671814671814700	0.8806818181818180
428	0.11272727272727300	0.0854385964912281	1.3513513513513500	0.9431818181818180
430	0.14545454545454500	0.1200000000000000	1.2857142857142900	1.0056818181818200
432	0.19454545454545500	0.1673684210526320	1.3127413127413100	1.0454545454545500
434	0.25090909090909100	0.2228070175438600	1.4800514800514800	1.0738636363636400
436	0.30272727272727300	0.2929824561403510	1.5572715572715600	1.1193181818181800
438	0.35545454545454500	0.3947368421052630	1.4157014157014200	1.1250000000000000
440	0.39363636363636400	0.5017543859649120	1.1389961389961400	1.1250000000000000
442	0.45727272727272700	0.6385964912280700	0.9549549549549550	1.1363636363636400
444	0.54272727272727300	0.8105263157894740	0.9240669240669240	1.1420454545454500
446	0.63818181818181800	1.0052631578947400	0.9459459459459460	1.1363636363636400
448	0.74000000000000000	1.2035087719298200	0.9794079794079790	1.1306818181818200
450	0.83545454545454500	1.3736842105263200	0.9897039897039900	1.1022727272727300
452	0.93636363636363600	1.5631578947368400	1.0398970398970400	1.0852272727272700
